rollno,name,fname,course,city,dob,s1,s2,s3,s4,s5
1,Asif,Asif,Blockchain,LHR,1970-10-25,92,81,99,25,19
2,Ali,Ali,DS,ISL,1981-07-16,10,88,82,95,79
3,Hamza,Junaid,DS,LHR,2014-04-26,63,12,52,62,39
4,Asif,Hamza,AI,LHR,1998-09-10,61,34,13,59,23
5,Ali,Ali,DS,KHI,1952-10-09,83,70,87,35,27
6,Asif,Asif,AI,LHR,1994-03-18,3,99,69,60,50
7,Ali,Asif,ML,,1950-10-17,45,4,22,78,3
8,Junaid,Asif,AI,LHR,2003-10-24,60,2,2,49,81
9,Junaid,Hamza,Blockchain,ISL,1951-09-07,51,73,86,46,82
10,Hamza,Junaid,ML,ISL,1969-07-30,46,37,12,74,48
11,Asif,Asif,AI,,1968-08-17,3,91,7,69,16
12,Hamza,Ali,Blockchain,ISL,1995-08-07,12,39,33,32,38
13,Ali,Asif,DS,ISL,1976-03-02,80,62,89,46,44
14,Ali,Asif,DS,ISL,1958-01-21,93,87,54,6,77
15,Junaid,Hamza,ML,KHI,1969-06-04,96,60,8,80,13
16,Asif,Junaid,Blockchain,,2004-05-24,33,11,82,10,68
17,Junaid,Asif,ML,KHI,1984-06-03,51,45,65,25,25
18,Ali,Junaid,ML,KHI,1987-05-29,11,72,75,31,55
19,Asif,Asif,DS,LHR,1992-07-05,99,24,7,92,98
20,Ali,Junaid,AI,LHR,2000-01-27,33,34,66,99,61
21,Hamza,Hamza,Blockchain,KHI,1967-03-22,93,80,25,57,76
22,Asif,Junaid,AI,,1966-10-02,22,13,83,53,63
23,Asif,Asif,DS,ISL,1994-09-10,43,97,16,67,14
24,Junaid,Junaid,AI,ISL,2002-09-15,54,31,61,55,98
25,Ali,Ali,Blockchain,LHR,2006-06-10,47,52,78,54,76
26,Ali,Asif,ML,,2001-06-22,9,16,95,20,50
27,Asif,Asif,Blockchain,,1982-07-19,43,69,82,66,59
28,Ali,Hamza,ML,KHI,1970-06-26,37,90,23,66,84
29,Ali,Junaid,AI,KHI,1960-03-28,4,22,84,97,2
30,Hamza,Ali,ML,KHI,1968-10-09,64,59,48,76,38
31,Ali,Asif,Blockchain,,1958-08-26,70,78,11,42,52
32,Junaid,Junaid,AI,,1977-02-09,22,30,72,59,35
33,Ali,Junaid,Blockchain,,1990-11-17,43,86,35,51,45
34,Ali,Hamza,Blockchain,KHI,1966-08-29,38,54,78,23,55
35,Ali,Hamza,ML,KHI,1989-06-19,2,15,24,41,61
36,Asif,Junaid,DS,ISL,1965-09-09,19,29,83,72,52
37,Hamza,Ali,AI,KHI,1971-03-05,70,21,86,72,24
38,Junaid,Ali,Blockchain,,1952-11-01,67,88,9,69,83
39,Asif,Junaid,AI,KHI,1957-01-23,50,88,17,22,75
40,Asif,Asif,Blockchain,ISL,1965-10-05,45,52,65,70,40
41,Ali,Junaid,DS,KHI,1957-07-17,59,60,18,97,83
42,Hamza,Junaid,Blockchain,ISL,2014-04-20,83,50,78,64,76
43,Asif,Junaid,Blockchain,ISL,1984-04-25,30,11,93,78,33
44,Hamza,Hamza,Blockchain,KHI,1977-08-11,7,8,1,29,77
45,Junaid,Junaid,Blockchain,ISL,2014-07-03,10,23,42,44,30
46,Ali,Junaid,Blockchain,,1972-03-08,12,44,90,57,40
47,Asif,Junaid,AI,LHR,2012-04-15,95,97,51,28,66
48,Asif,Hamza,ML,LHR,1951-11-27,47,52,98,41,40
49,Asif,Asif,ML,ISL,1975-10-21,70,18,74,81,45
50,Ali,Junaid,AI,LHR,1989-05-26,69,71,59,1,81
51,Junaid,Ali,DS,,2014-11-05,89,73,73,2,5
52,Hamza,Asif,AI,LHR,1955-01-09,4,36,35,57,94
53,Ali,Junaid,DS,KHI,2002-04-07,97,41,91,20,48
54,Asif,Ali,AI,KHI,1992-01-15,82,2,2,75,65
55,Ali,Asif,ML,ISL,1980-04-14,93,62,81,90,84
56,Junaid,Asif,Blockchain,,1963-08-03,5,22,76,13,30
57,Junaid,Asif,ML,ISL,1997-03-19,21,23,19,78,55
58,Ali,Asif,DS,,1951-09-27,85,80,25,48,34
59,Hamza,Asif,DS,LHR,1953-09-14,20,32,23,48,38
60,Asif,Hamza,AI,ISL,2009-08-11,90,91,75,15,56
61,Junaid,Ali,AI,,1984-11-10,78,52,97,63,51
62,Hamza,Junaid,AI,LHR,1957-11-16,81,40,6,45,29
63,Ali,Junaid,Blockchain,LHR,1950-01-24,41,8,3,79,33
64,Asif,Hamza,AI,LHR,2005-03-04,57,26,13,85,52
65,Junaid,Asif,AI,ISL,1950-05-03,40,46,42,70,54
66,Asif,Asif,Blockchain,LHR,2013-09-11,75,63,63,6,85
67,Asif,Hamza,Blockchain,,1961-05-26,82,31,53,72,52
68,Asif,Junaid,Blockchain,ISL,2007-06-21,30,50,12,64,46
69,Junaid,Ali,ML,ISL,1993-06-18,57,10,43,95,62
70,Junaid,Asif,DS,LHR,1984-09-03,96,38,19,67,13
71,Ali,Asif,AI,ISL,2004-09-13,46,19,27,99,38
72,Hamza,Ali,DS,ISL,1994-05-20,47,85,81,21,52
73,Ali,Hamza,AI,ISL,2001-05-12,14,92,68,41,62
74,Ali,Ali,ML,KHI,1950-09-05,65,21,39,31,2
75,Junaid,Hamza,DS,KHI,1977-05-13,84,10,52,34,58
76,Asif,Ali,Blockchain,KHI,2009-10-07,51,63,66,32,54
77,Asif,Junaid,AI,ISL,1991-06-07,85,32,27,25,85
78,Asif,Hamza,DS,LHR,1989-03-24,52,47,72,58,35
79,Ali,Asif,Blockchain,,1964-11-12,91,2,13,69,92
80,Junaid,Junaid,Blockchain,LHR,2002-04-03,45,88,55,94,89
81,Asif,Hamza,ML,LHR,2011-03-19,16,45,90,29,71
82,Asif,Junaid,DS,LHR,2005-08-16,25,53,92,22,79
83,Hamza,Ali,DS,ISL,1962-03-01,48,23,54,15,50
84,Ali,Hamza,ML,ISL,1985-10-13,78,50,38,20,47
85,Ali,Ali,Blockchain,LHR,1959-02-07,50,93,23,65,66
86,Ali,Junaid,ML,,1995-01-05,67,73,80,31,57
87,Junaid,Hamza,DS,LHR,1979-03-14,71,70,84,9,21
88,Junaid,Junaid,Blockchain,ISL,1973-04-02,3,28,20,18,37
89,Asif,Ali,Blockchain,,1996-05-02,96,63,41,1,43
90,Junaid,Junaid,AI,,1988-10-07,30,92,37,92,96
91,Hamza,Ali,AI,,2007-04-10,99,97,90,18,84
92,Hamza,Asif,Blockchain,ISL,1999-11-19,59,2,6,42,94
93,Junaid,Ali,AI,KHI,2009-04-05,32,11,30,61,26
94,Hamza,Ali,DS,KHI,1973-02-25,46,99,77,68,83
95,Hamza,Hamza,Blockchain,LHR,1979-06-02,99,60,29,92,72
96,Ali,Ali,Blockchain,LHR,1998-11-18,62,30,17,25,75
97,Ali,Junaid,DS,LHR,1950-09-23,49,98,71,55,99
98,Asif,Asif,DS,ISL,1964-01-13,21,56,25,15,95
99,Hamza,Junaid,Blockchain,,1955-04-22,57,86,58,25,74
100,Junaid,Ali,DS,ISL,1999-04-09,22,50,60,11,4
101,Ali,Asif,Blockchain,ISL,2000-06-27,68,97,76,32,29
102,Asif,Ali,AI,ISL,1954-10-18,39,49,59,33,68
103,Junaid,Asif,ML,KHI,1964-09-04,60,79,50,92,6
104,Asif,Ali,Blockchain,ISL,2003-10-19,31,39,69,29,2
105,Hamza,Junaid,AI,LHR,1977-01-27,63,64,32,29,97
106,Junaid,Ali,Blockchain,LHR,2000-04-15,67,82,96,48,37
107,Asif,Hamza,AI,ISL,2004-11-08,13,72,33,39,64
108,Asif,Ali,DS,KHI,1989-08-29,49,63,36,1,89
109,Asif,Asif,Blockchain,ISL,1967-10-30,12,65,80,44,43
110,Hamza,Asif,ML,KHI,1961-06-05,26,30,96,26,82
111,Junaid,Junaid,Blockchain,,1969-02-19,13,81,7,24,84
112,Asif,Ali,DS,LHR,1960-03-08,79,35,4,54,16
113,Asif,Ali,DS,KHI,1961-11-12,66,1,48,79,15
114,Asif,Hamza,ML,LHR,1974-03-18,60,68,49,2,17
115,Asif,Junaid,AI,ISL,2012-02-05,71,73,43,57,81
116,Junaid,Ali,DS,KHI,1960-10-25,49,65,86,36,36
117,Ali,Ali,DS,KHI,1996-09-16,52,5,30,22,55
118,Junaid,Ali,ML,KHI,1975-08-06,50,33,42,86,62
119,Ali,Ali,AI,KHI,2000-11-12,21,85,22,4,64
120,Asif,Junaid,ML,,1971-02-24,20,82,85,67,32
121,Asif,Asif,DS,ISL,2012-11-12,97,51,75,30,99
122,Junaid,Ali,ML,KHI,2002-05-11,12,95,5,46,26
123,Junaid,Junaid,DS,ISL,1998-04-15,12,67,19,68,87
124,Hamza,Junaid,ML,KHI,1971-02-26,19,95,69,74,1
125,Hamza,Ali,ML,ISL,1970-01-24,57,18,32,38,72
126,Hamza,Junaid,AI,,2014-06-24,11,32,7,78,57
127,Ali,Hamza,ML,LHR,2004-03-22,10,23,57,10,27
128,Hamza,Ali,DS,LHR,1987-04-25,44,76,21,49,44
129,Asif,Asif,AI,,1969-02-14,6,26,78,83,74
130,Hamza,Asif,DS,ISL,1981-02-11,65,15,28,21,77
131,Hamza,Asif,AI,LHR,1953-11-29,25,63,32,24,49
132,Junaid,Asif,Blockchain,LHR,2002-08-06,36,25,24,11,6
133,Ali,Asif,ML,LHR,1950-11-16,54,11,49,22,65
134,Junaid,Ali,AI,LHR,1975-01-17,52,34,99,40,76
135,Junaid,Asif,ML,KHI,2008-11-29,8,79,27,31,87
136,Junaid,Asif,Blockchain,ISL,1977-05-29,53,32,6,38,86
137,Hamza,Junaid,Blockchain,,1972-05-13,32,27,32,49,11
138,Junaid,Hamza,Blockchain,KHI,1994-05-07,82,95,11,34,86
139,Asif,Ali,Blockchain,ISL,1979-05-16,59,6,36,51,91
140,Ali,Junaid,DS,KHI,1995-02-18,10,39,17,63,43
141,Junaid,Asif,Blockchain,ISL,2011-06-05,75,24,21,65,51
142,Asif,Asif,Blockchain,LHR,1952-08-22,11,52,79,15,98
143,Ali,Junaid,ML,KHI,1970-03-30,79,97,27,35,9
144,Junaid,Ali,DS,LHR,2007-10-25,72,33,12,2,80
145,Asif,Junaid,DS,LHR,1956-01-21,1,32,74,55,74
146,Junaid,Junaid,AI,KHI,1981-08-24,65,48,52,98,30
147,Ali,Hamza,DS,KHI,1996-03-30,76,42,73,7,88
148,Hamza,Asif,AI,LHR,1963-04-05,67,11,22,32,37
149,Ali,Asif,Blockchain,KHI,1990-02-03,75,98,72,53,12
150,Hamza,Ali,Blockchain,LHR,2014-09-20,27,87,78,36,97
151,Junaid,Hamza,AI,KHI,2012-05-20,68,66,87,74,99
152,Ali,Asif,ML,LHR,2006-06-27,19,57,28,50,31
153,Ali,Junaid,DS,ISL,1998-04-07,6,45,79,34,85
154,Junaid,Junaid,AI,KHI,2003-09-01,61,92,69,48,48
155,Junaid,Asif,AI,,1969-06-07,32,67,62,87,90
156,Hamza,Asif,ML,ISL,1978-05-08,94,7,7,93,14
157,Hamza,Asif,Blockchain,KHI,1995-04-03,43,87,50,3,2
158,Hamza,Ali,Blockchain,LHR,1961-01-25,9,23,94,91,24
159,Asif,Ali,DS,LHR,1953-02-25,40,25,74,13,76
